ID,name,age,gender,score, Height, Weight,total_bill,tip,smoker,day,time,size,Date,Product,Category,Quantity,Price
110,Sara,30,F,90,65.78,112.99,16.99,1.01,No,Sun,Dinner,2,1/1/2023,Laptop,Electronics,2,1500
111,Reza,22,M,85,71.52,136.49,10.34,1.66,No,Sun,Dinner,3,1/5/2023,Mouse,Electronics,5,20
112,Niloofar,35,F,83.75,69.4,153.03,21.01,3.5,No,Sun,Dinner,3,1/10/2023,Keyboard,Electronics,,30
113,Ali,,M,80,68.22,142.34,23.68,3.31,No,Sun,Dinner,2,1/15/2023,Monitor,Electronics,-1,300
114,Sara,,F,90,67.79,144.3,24.59,3.61,No,Sun,Dinner,4,1/20/2023,,Electronics,3,300
115,Reza,13,M,85,68.7,123.3,25.29,4.71,No,Sun,Dinner,4,2/1/2023,Mouse,Electronics,4,20
116,Niloofar,7,F,,69.8,141.49,8.77,2,No,Sun,Dinner,2,2/3/2023,Laptop,Electronics,1,1500
117,Ali,8,M,80,70.01,136.46,26.88,3.12,No,Sun,Dinner,4,2/7/2023,Keyboard,Electronics,2,30
118,Sara,9,F,,67.9,112.37,15.04,1.96,No,Sun,Dinner,2,2/10/2023,Monitor,Electronics,2,300
119,,40,M,85,66.78,120.67,14.78,3.23,No,Sun,Dinner,2,2/14/2023,Mouse,Electronics,,20
120,Niloofar,55,F,,66.49,127.45,10.27,1.71,No,Sun,Dinner,2,3/1/2023,Laptop,Electronics,1,1500
121,Ali,65,M,80,67.62,114.14,35.26,5,No,Sun,Dinner,4,3/5/2023,Monitor,Electronics,2,300
122,Sara,78,F,,68.3,125.61,15.42,1.57,No,Sun,Dinner,2,3/10/2023,Keyboard,Electronics,3,30
123,Reza,90,M,85,67.12,122.46,18.43,3,No,Sun,Dinner,4,3/12/2023,Laptop,Electronics,1,1500
124,Niloofar,22,F,,68.28,116.09,14.83,3.02,No,Sun,Dinner,2,10/20/2023,Mouse,Electronics,-2,20
125,Ali,23,M,80,71.09,140,21.58,3.92,No,Sun,Dinner,2,3/25/2023,Monitor,,1,300
126,Sara,22,F,90,66.46,129.5,10.33,1.67,No,Sun,Dinner,3,3/26/2023,Cakes,Food,2,1500
127,Reza,18,M,85,68.65,142.97,16.29,3.71,No,Sun,Dinner,3,4/27/2023,Cakes,Food,5,20
128,Niloofar,19,F,,71.23,137.9,16.97,3.5,No,Sun,Dinner,3,3/28/2023,Flour,Food,,30
